SLNO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
1,David warner,Australia,26,1040,1115,25,41.6,93.3,128,7,2,119,14,53.2,0,0,0,0,0,0,0,0,0,0,0,9,0
2,Steven Smith,Australia,22,1129,1229,19,59.4,91.9,131,6,4,113,14,47.6,1,1,8,0,8,0,0,0,0,1,50,16,0
3,Travis Head,Australia,12,639,561,10,63.9,113.9,152,4,2,70,18,46.7,4,13,81,2,6.23,40.5,39,0,5,2,37.2,2,0
4,Marnus Labuchagne,Australia,28,847,1018,27,31.4,83.2,108,6,1,52,2,42.2,9,30.4,193,2,6.29,96.5,92,0,14,5,42.4,12,0
5,Cameron Green,Australia,12,302,340,6,50.3,88.8,89,1,0,23,8,48.5,15,75,377,11,5.03,34.3,40.9,1,41,3,56.2,6,0
6,Alex Carey,Australia,32,863,1022,27,32,84.4,106,3,1,68,9,48.4,0,0,0,0,0,0,0,0,0,0,0,73,8
7,Mathew Wade,Australia,3,90,124,2,45,72.6,51,1,0,7,2,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Pat Cummins,Australia,12,90,110,9,10,81.8,35,0,0,5,2,50.9,17,150.5,821,28,5.44,29.3,32.3,0,82,16,61.8,6,0
9,Mitchel Starc,Australia,16,135,177,11,12.3,76.3,38,0,0,8,4,55.9,25,226.5,1228,47,5.41,26.1,29,2,123,24,63,16,0
10,Josh Hazlewood,Australia,9,45,47,2,22.5,95.7,23,0,0,2,1,38.3,25,222,955,36,4.3,26.5,37,0,98,13,65,9,0
11,Mitchel Swepson,Australia,1,2,2,1,2,100,2,0,0,0,0,50,3,26.2,161,3,6.11,53.7,52.7,0,12,5,43.7,0,0
12,Mitchel Marsh,Australia,19,580,639,18,32.2,90.8,81,4,0,53,21,56.3,14,68.3,349,10,5.09,34.9,41.1,0,27,4,54.5,6,0
13,Ashton Agar,Australia,9,130,153,6,21.7,85,28,0,0,8,2,47.1,12,102,504,12,4.94,42,51,0,29,13,48.7,6,0
14,Jhye Richardson,Australia,2,25,23,0,0,108.7,24,0,0,3,0,43.5,3,27,161,3,5.96,53.7,54,0,19,3,53.7,1,0
15,Josh Inglis,Australia,3,41,53,3,13.7,77.4,26,0,0,3,1,56.6,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Kane Williamson,New Zealand,37,1985,3907,33,60.2,50.8,251,3,8,235,7,74.4,6,12,44,1,3.67,44,72,0,2,0,62.5,4,0
17,Tom Latham,New Zealand,54,2033,4193,51,39.9,48.5,252,12,4,235,6,75.2,0,0,0,0,0,0,0,0,0,0,0,35,8
18,Henry Nicholls,New Zealand,21,626,773,17,36.8,81,80,4,0,65,6,54.9,0,0,0,0,0,0,0,0,0,0,0,8,0
19,Mitchell Santner,New Zealand,16,350,375,11,31.8,93.3,57,1,0,32,7,46.9,24,199.4,963,21,4.82,45.9,57,0,63,21,53,12,0
20,Tom Blundell,New Zealand,6,138,167,6,23,82.6,65,1,0,18,0,55.1,0,0,0,0,0,0,0,0,0,0,0,5,1
21,Trent Boult,New Zealand,6,37,36,5,7.4,102.8,16,0,0,5,0,50,10,94.5,373,23,3.93,16.2,24.7,0,30,5,71.2,8,0
22,Matt Henry,New Zealand,8,22,40,6,3.7,55,5,0,0,1,0,62.5,20,181,814,35,4.5,23.3,31,0,93,13,64.6,11,0
23,Tim Southee,New Zealand,8,44,61,5,8.8,72.1,15,0,0,3,0,54.1,14,121.4,654,24,5.38,27.2,30.4,0,65,21,60.3,4,0
24,Ish Sodhi,New Zealand,10,99,149,8,12.4,66.4,25,0,0,4,3,55,14,123.1,663,16,5.38,41.4,46.2,0,42,16,46.7,3,0
25,Lockie Fergusion,New Zealand,10,35,72,6,5.8,48.6,8,0,0,2,0,62.5,17,148.5,920,18,6.18,51.1,49.6,0,101,20,57.2,2,0
26,Daryl Mitchell,New Zealand,22,829,923,19,43.6,89.8,129,2,3,66,14,46.8,10,38,213,11,5.61,19.4,20.7,0,18,6,54.4,7,0
27,Michael Bracewell,New Zealand,16,510,430,12,42.5,118.6,140,0,2,45,24,45.3,19,123,634,15,5.15,42.3,49.2,0,49,18,52,9,0
28,Devon Conway,New Zealand,17,733,847,16,45.8,86.5,138,3,3,83,11,54.5,0,0,0,0,0,0,0,0,0,0,0,9,0
29,Glenn Phillips,New Zealand,12,351,387,11,31.9,90.7,63,1,0,26,14,53.5,6,20,131,5,6.55,26.2,24,0,10,4,42.5,5,0
30,Finn Allen,New Zealand,17,533,561,17,31.4,95,96,5,0,69,14,59.5,0,0,0,0,0,0,0,0,0,0,0,6,0
31,Will Young,New Zealand,15,592,653,12,49.3,90.7,120,3,2,55,12,50.8,0,0,0,0,0,0,0,0,0,0,0,3,0
