NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
Smriti Mandanna,INDIA,29,1169,1398,27,43.3,83.6,123,9,1,136,13,55.2,0,0,0,0,0,0,0,0,0,0,0,17,0
Harmanpreet Kaur,INDIA,29,1130,1358,23,49.1,83.2,143,7,2,110,15,51,16,77,379,9,4.92,42.1,51.3,0,27,4,53.5,23,0
Jemimah Rodrigues,INDIA,12,263,364,12,21.9,72.3,83,3,0,29,0,59.1,2,4.2,4,5,0.92,0.8,5.2,0,0,0,84.6,2,0
Shafali Verma,INDIA,21,531,635,20,26.6,83.6,71,4,0,64,6,56.5,2,3,9,1,3,9,18,0,0,0,55.6,13,0
Richa Ghosh,INDIA,16,311,366,14,22.2,85,65,2,0,25,8,54.1,30,563,422,0,26.8,133.4,47,0,64,18,40.5,3,0
Taniya Bhatia,INDIA,6,40,85,4,10,47.1,9,0,0,1,0,63.5,0,0,0,0,0,0,0,0,0,0,0,10,0
Nigar Sultana,BANGLADESH,16,364,670,16,22.8,54.3,73,1,0,20,3,63.7,0,0,0,0,0,0,0,0,0,0,0,15,5
Murshida Khatun,BANGLADESH,13,272,434,11,24.7,62.7,51,1,0,34,1,67.7,0,0,0,0,0,0,0,0,0,0,0,4,0
Sharmin Akther,BANGLADESH,15,372,661,14,26.6,56.3,130,0,1,38,0,66.6,0,0,0,0,0,0,0,0,0,0,0,2,0
Shamima Sultana,BANGLADESH,7,157,269,7,22.4,58.4,52,1,0,17,0,66.5,0,0,0,0,0,0,0,0,0,0,0,1,3
Lata Mondal,BANGLADESH,10,176,291,8,22,60.5,33,0,0,16,0,62.2,7,20,110,1,5.5,110,120,0,9,1,55.8,3,0
Fargana Hoque,BANGLADESH,19,596,1018,15,39.7,58.5,77,6,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,11,0
Nuzhat Tasnia,BANGLADESH,1,10,24,1,10,41.7,10,0,0,0,0,70.8,0,0,0,0,0,0,0,0,0,0,0,1,1
Sobhana Mostary,BANGLADESH,3,25,38,3,8.3,65.8,13,0,0,1,1,57.9,0,0,0,0,0,0,0,0,0,0,0,1,0
Chamari Athapaththu,SRI LANKA,15,815,762,13,62.7,107,140,1,5,94,27,52.2,11,43.3,234,7,5.38,33.4,37.3,0,17,3,45.6,1,0
Harshitha Samarawickrama,SRI LANKA,13,312,480,11,28.4,65,75,1,0,21,2,56,1,1,10,0,10,0,0,0,1,0,83.3,5,0
Nilakshi de Silva,SRI LANKA,14,307,473,11,27.9,64.9,48,0,0,25,1,56.7,2,11,59,0,5.36,0,0,0,2,0,59.1,4,0
Kavisha Dilhari,SRI LANKA,9,245,309,8,30.6,79.3,84,1,0,23,2,52.1,10,61,305,4,5,76.2,91.5,0,20,2,47.3,2,4
Anushka Sanjeewani,SRI LANKA,10,157,270,10,15.7,58.1,36,0,0,11,0,58.5,0,0,0,0,0,0,0,0,0,0,0,6,2
Ama Kanchana,SRI LANKA,5,70,165,4,17.5,42.4,47,0,0,3,0,66.7,3,16.4,106,1,6.36,106,100,0,12,1,54,6,0
Hansima Karunaratne,SRI LANKA,5,56,158,5,11.2,35.4,27,0,0,7,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0
Prasadani Weerakkody,SRI LANKA,4,80,145,4,20,55.2,30,0,0,6,0,66.2,0,0,0,0,0,0,0,0,0,0,0,8,6
Muneeba Ali,PAKISTAN,24,657,1018,23,28.6,64.5,107,2,1,78,3,64.1,0,0,0,0,0,0,0,0,0,0,0,15,3
Omaima Sohail,PAKISTAN,30,654,1048,26,25.2,62.4,65,3,0,66,0,62.2,22,110,494,17,4.49,29.1,38.8,0,36,2,55.1,5,0
Ayesha Naseem,PAKISTAN,4,33,37,4,8.2,89.2,16,0,0,2,2,56.8,0,0,0,0,0,0,0,0,0,0,0,1,0
Bismah Maroof,PAKISTAN,19,682,981,14,48.7,69.5,78,6,0,58,0,54.7,4,17,98,1,5.76,98,102,0,7,1,50,4,0
Sadaf Shamas,PAKISTAN,3,105,136,3,35,77.2,72,1,0,13,0,55.9,0,0,0,0,0,0,0,0,0,0,0,2,0
Sidra Nawaz,PAKISTAN,20,183,379,18,10.2,48.3,23,0,0,13,0,67,9,99,100,6,16.5,99,22,0,11,2,48,20,10
Aliya Riaz,PAKISTAN,27,693,1043,24,28.9,66.4,81,4,0,55,12,59.6,11,48.5,280,1,5.73,280,293,0,26,1,47.4,6,0
